Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
25385727;1000796830056882100;63758934799708;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.068, -0.013, 0.998);(0.000, 0.000, 0.000);VALID;(0.095, -0.004, 0.995);(-0.032, 0.000, 0.000);0.2157348;VALID;(0.043, -0.021, 0.999);(0.032, 0.000, 0.000);0.2136751;1.097028;0
25385728;1000796830066900700;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.075, -0.014, 0.997);(0.000, 0.000, 0.000);VALID;(0.101, -0.006, 0.995);(-0.032, 0.000, 0.000);0.2157398;VALID;(0.050, -0.022, 0.999);(0.032, 0.000, 0.000);0.2135399;1.138617;0
25385729;1000796830076896900;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.086, -0.015, 0.996);(0.000, 0.000, 0.000);VALID;(0.112, -0.007, 0.994);(-0.032, 0.000, 0.000);0.2156451;VALID;(0.061, -0.022, 0.998);(0.032, 0.000, 0.000);0.2130157;1.153603;0
25385730;1000796830086897600;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.097, -0.015, 0.995);(0.000, 0.000, 0.000);VALID;(0.124, -0.008, 0.992);(-0.032, 0.000, 0.000);0.2152749;VALID;(0.071, -0.021, 0.997);(0.032, 0.000, 0.000);0.2119726;1.126504;0
25385731;1000796830096906000;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.101, -0.016, 0.995);(0.000, 0.000, 0.000);VALID;(0.133, -0.009, 0.991);(-0.032, 0.000, 0.000);0.215028;VALID;(0.071, -0.022, 0.997);(0.032, 0.000, 0.000);0.2086492;0.9780458;0
25385732;1000796830107016000;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.100, -0.016, 0.995);(0.000, 0.000, 0.000);VALID;(0.131, -0.009, 0.991);(-0.032, 0.000, 0.000);0.2138147;VALID;(0.070, -0.022, 0.997);(0.032, 0.000, 0.000);0.2080692;0.9980198;0
25385733;1000796830117030800;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.100, -0.016, 0.995);(0.000, 0.000, 0.000);VALID;(0.131, -0.010, 0.991);(-0.032, 0.000, 0.000);0.2136762;VALID;(0.070, -0.021, 0.997);(0.032, 0.000, 0.000);0.2077467;0.991725;0
25385734;1000796830127039500;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.100, -0.016, 0.995);(0.000, 0.000, 0.000);VALID;(0.131, -0.010, 0.991);(-0.032, 0.000, 0.000);0.2135441;VALID;(0.070, -0.021, 0.997);(0.032, 0.000, 0.000);0.2078498;0.995268;0
25385735;1000796830137015700;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.099, -0.016, 0.995);(0.000, 0.000, 0.000);VALID;(0.130, -0.010, 0.991);(-0.032, 0.000, 0.000);0.212713;VALID;(0.069, -0.022, 0.997);(0.032, 0.000, 0.000);0.2022717;0.9885209;0
25385736;1000796830147019100;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.098, -0.017, 0.995);(0.000, 0.000, 0.000);VALID;(0.129, -0.011, 0.992);(-0.032, 0.000, 0.000);0.2113681;VALID;(0.069, -0.023, 0.997);(0.032, 0.000, 0.000);0.2009054;1.004152;0
25385737;1000796830157103200;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.096, -0.018, 0.995);(0.000, 0.000, 0.000);VALID;(0.126, -0.011, 0.992);(-0.032, 0.000, 0.000);0.2109122;VALID;(0.069, -0.025, 0.997);(0.032, 0.000, 0.000);0.199467;1.042449;0
25385738;1000796830167133700;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.096, -0.019, 0.995);(0.000, 0.000, 0.000);VALID;(0.122, -0.011, 0.992);(-0.032, 0.000, 0.000);0.2105708;VALID;(0.070, -0.028, 0.997);(0.032, 0.000, 0.000);0.1982078;1.095602;0
25385739;1000796830177131700;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.090, -0.019, 0.996);(0.000, 0.000, 0.000);VALID;(0.119, -0.011, 0.993);(-0.032, 0.000, 0.000);0.2099817;VALID;(0.062, -0.026, 0.998);(0.032, 0.000, 0.000);0.204981;1.041956;0
25385740;1000796830187144200;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.077, -0.017, 0.997);(0.000, 0.000, 0.000);VALID;(0.099, -0.009, 0.995);(-0.032, 0.000, 0.000);0.2148567;VALID;(0.054, -0.026, 0.998);(0.032, 0.000, 0.000);0.2046511;2;0
25385741;1000796830197140300;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.065, -0.016, 0.998);(0.000, 0.000, 0.000);VALID;(0.084, -0.006, 0.996);(-0.032, 0.000, 0.000);0.2146449;VALID;(0.045, -0.025, 0.999);(0.032, 0.000, 0.000);0.2038974;2;0
25385742;1000796830207147500;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.055, -0.014, 0.998);(0.000, 0.000, 0.000);VALID;(0.074, -0.003, 0.997);(-0.032, 0.000, 0.000);0.2145024;VALID;(0.036, -0.025, 0.999);(0.032, 0.000, 0.000);0.2032806;2;0
25385743;1000796830217160500;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.049, -0.013, 0.999);(0.000, 0.000, 0.000);VALID;(0.068, -0.001, 0.998);(-0.032, 0.000, 0.000);0.2122468;VALID;(0.029, -0.024, 0.999);(0.032, 0.000, 0.000);0.2023558;2;0
25385744;1000796830227157800;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.040, -0.012, 0.999);(0.000, 0.000, 0.000);VALID;(0.065, -0.001, 0.998);(-0.032, 0.000, 0.000);0.2103812;VALID;(0.015, -0.023, 1.000);(0.032, 0.000, 0.000);0.2005059;1.050629;0
25385745;1000796830237274100;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.034, -0.012, 0.999);(0.000, 0.000, 0.000);VALID;(0.062, 0.000, 0.998);(-0.032, 0.000, 0.000);0.2101112;VALID;(0.005, -0.023, 1.000);(0.032, 0.000, 0.000);0.2004907;0.9679192;0
25385746;1000796830247272200;63758934799709;(0.383, 1.235, 0.250);(0.004, 0.546, -0.041, 0.837);VALID;(0.023, -0.013, 1.000);(0.000, 0.000, 0.000);VALID;(0.047, -0.003, 0.999);(-0.032, 0.000, 0.000);0.1970289;VALID;(-0.001, -0.022, 1.000);(0.032, 0.000, 0.000);0.2004093;2;0
