Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
25670160;1000799680015691200;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.021, -0.319, 0.947);(0.000, 0.000, 0.000);INVALID;;;;VALID;(0.018, -0.319, 0.948);(0.032, 0.000, 0.000);0.2507563;2;0
25670161;1000799680025838400;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.022, -0.319, 0.947);(0.000, 0.000, 0.000);INVALID;;;;VALID;(0.019, -0.319, 0.947);(0.032, 0.000, 0.000);0.2507524;2;0
25670162;1000799680035831400;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(-0.077, -0.282, 0.956);(0.000, 0.000, 0.000);INVALID;;;;VALID;(-0.080, -0.288, 0.954);(0.032, 0.000, 0.000);0.2509888;2;0
25670163;1000799680045824200;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(-0.031, -0.290, 0.957);(0.000, 0.000, 0.000);INVALID;;;;VALID;(-0.034, -0.294, 0.955);(0.032, 0.000, 0.000);0.250959;2;0
25670164;1000799680055836400;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(-0.003, -0.297, 0.955);(0.000, 0.000, 0.000);INVALID;;;;VALID;(-0.006, -0.300, 0.954);(0.032, 0.000, 0.000);0.2509214;2;0
25670165;1000799680065822100;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.028, -0.295, 0.955);(0.000, 0.000, 0.000);VALID;(0.090, -0.264, 0.960);(-0.032, 0.000, 0.000);0.2356758;VALID;(0.010, -0.304, 0.953);(0.032, 0.000, 0.000);0.2506236;0.6276966;0
25670166;1000799680075844000;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.045, -0.295, 0.954);(0.000, 0.000, 0.000);VALID;(0.091, -0.270, 0.959);(-0.032, 0.000, 0.000);0.2306698;VALID;(0.018, -0.308, 0.951);(0.032, 0.000, 0.000);0.2499037;0.6871886;0
25670167;1000799680085952800;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.054, -0.295, 0.954);(0.000, 0.000, 0.000);VALID;(0.097, -0.288, 0.953);(-0.032, 0.000, 0.000);0.2305571;VALID;(0.023, -0.310, 0.950);(0.032, 0.000, 0.000);0.2494352;0.7966499;0
25670168;1000799680095965400;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.057, -0.294, 0.954);(0.000, 0.000, 0.000);VALID;(0.094, -0.286, 0.954);(-0.032, 0.000, 0.000);0.2302855;VALID;(0.023, -0.311, 0.950);(0.032, 0.000, 0.000);0.2489177;0.7950249;0
25670169;1000799680105964500;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.057, -0.294, 0.954);(0.000, 0.000, 0.000);VALID;(0.091, -0.284, 0.955);(-0.032, 0.000, 0.000);0.2301649;VALID;(0.021, -0.311, 0.950);(0.032, 0.000, 0.000);0.2484354;0.7895832;0
25670170;1000799680115944600;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.058, -0.292, 0.955);(0.000, 0.000, 0.000);VALID;(0.089, -0.282, 0.955);(-0.032, 0.000, 0.000);0.2293724;VALID;(0.020, -0.308, 0.951);(0.032, 0.000, 0.000);0.2464333;0.8027424;0
25670171;1000799680126066100;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.058, -0.292, 0.955);(0.000, 0.000, 0.000);VALID;(0.088, -0.281, 0.956);(-0.032, 0.000, 0.000);0.2293603;VALID;(0.020, -0.306, 0.952);(0.032, 0.000, 0.000);0.2463442;0.8203435;0
25670172;1000799680135962900;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.059, -0.290, 0.955);(0.000, 0.000, 0.000);VALID;(0.088, -0.279, 0.956);(-0.032, 0.000, 0.000);0.2293678;VALID;(0.020, -0.305, 0.952);(0.032, 0.000, 0.000);0.2461291;0.8218533;0
25670173;1000799680146075900;63758937649690;(0.432, 1.271, 0.345);(-0.083, 0.110, 0.046, 0.989);VALID;(0.059, -0.289, 0.956);(0.000, 0.000, 0.000);VALID;(0.087, -0.277, 0.957);(-0.032, 0.000, 0.000);0.2295136;VALID;(0.020, -0.304, 0.952);(0.032, 0.000, 0.000);0.2455301;0.8149146;0
