Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
411582;1000391551020409100;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);VALID;(-0.029, 0.143, 0.989);(0.000, 0.000, 0.000);INVALID;;;;VALID;(-0.053, 0.153, 0.987);(0.032, 0.000, 0.000);0.1915524;2;0
411583;1000391551030425800;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);VALID;(-0.027, 0.142, 0.990);(0.000, 0.000, 0.000);VALID;(0.020, 0.115, 0.993);(-0.032, 0.000, 0.000);0.1882168;VALID;(-0.054, 0.153, 0.987);(0.032, 0.000, 0.000);0.2086368;0.6909885;0
411584;1000391551040409900;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411585;1000391551050410700;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411586;1000391551060568800;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411587;1000391551070547400;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411588;1000391551080543500;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411589;1000391551090556800;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411590;1000391551100545700;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411591;1000391551110540300;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);INVALID;;;INVALID;;;;INVALID;;;;;
411592;1000391551120575700;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);VALID;(0.068, 0.111, 0.991);(0.000, 0.000, 0.000);VALID;(0.071, 0.111, 0.991);(-0.032, 0.000, 0.000);0.1770105;INVALID;;;;2;0
411593;1000391551130662500;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);VALID;(0.075, 0.141, 0.987);(0.000, 0.000, 0.000);VALID;(0.078, 0.141, 0.987);(-0.032, 0.000, 0.000);0.1856119;INVALID;;;;2;0
411595;1000391551150669100;63759449035657;(0.265, 1.212, -1.039);(0.049, 0.198, -0.006, 0.979);VALID;(0.005, 0.143, 0.990);(0.000, 0.000, 0.000);VALID;(0.019, 0.137, 0.990);(-0.032, 0.000, 0.000);0.1868353;INVALID;;;;2;0
